产品网址：https://www.myrntec.com/rges/38.html
产品结构：root->风冷储能站_锐亿方电网侧RGES系列_电池总成系统PACK_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|风冷储能站|无|由 20 尺预制舱组成，内含电池系统、照明、消防、空调等。产品以电池簇为基本单位可涵盖不同电压、不同容量的场景需求，可与光伏、风电、火电等系统配合实现新能源消纳、平滑出力、削峰填谷、调频调峰，以及为电网提供辅助服务等，广泛应用于发、输、配、用各个环节。具有高安全性、智能温控技术、自主研发 BMS、兼容性等优势特点。|

型号,ESD1126.4-05P2703.3
额定能量,2703.3kWh
推荐运行电压范围,985.6~1267.2Vdc
标称电压,1126.4Vdc
最大充放电倍率,0.5P@25℃;
工作温度范围,-30~45℃;
湿度,0-95%;RH
防护等级,IP54
消防系统;;,七氟丙烷/全氟己酮
海拔,＜3000m
重量,≈32t
通讯方式;,CAN、RS485、Ethernet
认证标准,UL1973、UL9540A、IEC62619*、UN38.3、IEC62477*、IEC61000*IEC60730*、IEC62933*
