产品网址：https://www.myrntec.com/cfd/134.html
产品结构：root->电芯/模组/PACK充放电自动化测试系统_锂电池充放电自动化测试解决方案_电池智能制造IME_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|锐能电芯分容及充放电自动化测试系统|无|主要应用于锂电池、铅酸电池、镍氢镍镉电池测试和质量监控，可实现电芯分容及充放电数据监测一体化。采用先进的双向控流技术，支持能量回馈电网，回馈能量谐波低，对电网无污染；配合高性能 DSP 数字处理技术及高速、高精度数据采样控制技术，使设备可达到 ms 级的电流响应时间及 ms 级快速数据记录，输出电源量程范围宽，纹波小。支持电流分档，采用四象限方案，放电可至负压（定制），支持多通道并联及充放电曲线对比，具备防反接、通讯中断等保护功能，满足 CE/UL 等出口认证要求。|

项目,规格参数
AC侧供电,220±10%VAC， 50±5%Hz
DC侧电压范围,0~5V(负压可定制)
DC侧电压精度,±0.05%F.S.(分辨率1mV)
DC侧电流范围,0~1000A(可定制)
DC侧电流精度,±0.05%F.S.(分辨率1mA)
通道数,通道数可选
电流响应时间,5mS(10%~90%)
电流切换时间,10mS(10%~90%)
最大回馈效率,≥96%
充电模式,恒流、恒压、恒功率、斜坡等
放电模式,恒流、恒压、恒功率、恒阻、斜坡等
其他工作模式,静置、工况模拟、脉冲测试、DCIR测试等
保护功能,过流/过压/欠压/反接/错接/通讯异常保护等
设备尺寸,600*800*2000mm(W*D*H)
