产品网址：http://itocec.com/Index/lists/catid/59.html
产品结构：首页->产品与服务->小型PLC产品IS20系列->数字量模块

|产品名称|产品型号|功能描述|
|--|--|--|
|8 通道数字量输入模块|IS20-T1308|额定工作电压为 DC24V，8 路数字量输入通道|
|16 通道数字量输入模块|IM30-T1316|额定工作电压为 DC24V，16 路数字量输入通道|
|8 通道数字量输出模块|IS20-T2208|额定工作电压为 DC24V，8 路数字量输出通道|
|8 通道继电器数字量输出模块|IS20-T2408|额定工作电压为 DC24V，8 路继电器数字量输出通道|
|8 通道数字量输入输出模块|IS20-T5108|额定工作电压为 DC24V，提供 4 路数字量输入和 4 路数字量输出通道|
|8 通道数字量输入输出模块|IS20-T5208|额定工作电压为 DC24V，提供 4 路数字量输入和 4 路继电器数字量输出通道|
|16 通道数字量输入输出模块|IS20-T5116|额定工作电压为 DC24V，提供 8 路数字量输入和 8 路数字量输出通道|
|16 通道模拟量输入输出模块|IS20-T5216|额定工作电压为 DC24V，提供 8 路数字量输入和 8 路继电器数字量输出通道|
