产品网址：https://www.toll-semi.com/products-filter/products-pmu-pmic
产品结构：root->产品筛选器-拓尔微

|产品名称|产品型号|功能描述|
|--|--|--|
|电源管理芯片|无|无|
|PMIC|多通道 DC/DC PMIC、LNB 供电专用 PMIC、拓展坞 PMIC|无|
|线性稳压器|低压差线性稳压器|无|
|保护、开关和复位|负载开关、电源开关、复位芯片、断电保护|无|
|LED 驱动器|LED 背光驱动、LED 照明驱动|无|
|AC-DC 控制器和转换器|SR 控制器和转换器、反激式控制器和转换器|无|
|电源模块|标准的 PoE 供电受电 IC、PSE(PoE) IC、PD(PoE) IC|无|
|显示驱动芯片|分区背光主控芯片、显示驱动芯片|无|
|电机驱动芯片|有刷直流(BDC)电机驱动器、无刷直流(BLDC)电机驱动器、单相直流无刷电机驱动、三相直流无刷电机驱动、高边或低边驱动、栅极驱动、有刷栅极驱动、无刷栅极驱动、步进电机驱动|无|
|电池管理芯片|电池保护 IC、模拟前端 AFE、电量计、电池充电管理|无|
|接口控制芯片|USB Type-A 控制器、USB Type-C PD 控制器、USB Type-C 电源管理芯片|无|
|信号链芯片|时间数字转换器、霍尔传感器芯片、隔离器件、放大器、数据转换器、逻辑和电压转换|无|
|音频功放|无|无|
|MCU 芯片|8051 核 MCU|无|
