产品网址：https://product.nvc-lighting.com.cn/seriesDetail?id=951
产品结构：root->肖邦87系列-NVC雷士照明-照明整体解决方案服务商

|产品名称|产品型号|功能描述|
|----|----|----|
|肖邦 87 系列|无|新品，具有科技感，现代简约，无主灯|




NLED8712A  新品,95,4000,24°,φ45,503
NLED8712A  新品,95,3500,24°,φ45,488
NLED8712A  新品,95,2700,24°,φ45,431
NLED8712A  新品,95,3000,36°,φ45,477
NLED8712A  新品,95,3000,24°,φ45,468
NLED8712D  新品,95,2700,24°,φ45,431
NLED8712D  新品,95,3500,24°,φ45,488
NLED8712D  新品,95,3000,24°,φ45,468
NLED8712D  新品,95,4000,24°,φ45,503
NLED8712D  新品,95,3000,36°,φ45,477
