产品网址：http://www.bjclkdkj.com/ProductsStd_340.html
产品结构：root->在线式真空烧接炉KD-V8N-北京诚恺联达

|产品名称|产品型号|功能描述|
|----|----|----|
|在线式真空烧接炉|KD-V8N|焊接面积为 300*350MM，上下热风循环加热+回流区真空，轨道传动，可接自动上下料机，在线连续工作 60-120S 出一炉产品，极限真空 50PA，横向温差±1%，氮气保护气体，工业触摸屏+西门子 PLC 控制系统|

型 号,KD-V8N,KD-V8N.1
加热部分参数,加热部分参数,加热部分参数
预区数量,上8/下8,上8/下8
加热区长度,3000mm,3000mm
冷却区数量,上2个/下2个,上2个/下2个
真空区部分,真空区部分,真空区部分
真空区数量,1个,1个
最大产品面积,最小产品100*100MM；最大产品300*350MM，,最小产品100*100MM；最大产品300*350MM，
极限真空,10-100pa,10-100pa
真空抽速,40m³/h 可调,40m³/h 可调
视觉观察窗口,1个,1个
助焊剂回收系统,减少设备的保养次数，增加配件使用寿命,减少设备的保养次数，增加配件使用寿命
系统控制,工业触摸屏+西门子PLC,工业触摸屏+西门子PLC
工艺控制动作,抽真空时间、真空压力、抽真空抽速、真空维持时间、放气时间自由控制设定,抽真空时间、真空压力、抽真空抽速、真空维持时间、放气时间自由控制设定
传动部分参数,传动部分参数,传动部分参数
网带宽度,450MM,450MM
运输导轨调节范围,50-400MM,50-400MM
传送方向,L-R(R-L),L-R(R-L)
运输高度,网带880±20MM；链条900±20MM,网带880±20MM；链条900±20MM
传送方式,网带传动；网带+链条传动,网带传动；网带+链条传动
传送速度,300-2000mm/min,300-2000mm/min
控制部分参数,控制部分参数,控制部分参数
电源,三项五线 380V 50/60HZ,三项五线 380V 50/60HZ
启动功率,52KW,52KW
正常工作消耗,Approx.10KW,Approx.10KW
升温时间,20min,20min
温度控制范围,室温-350度,室温-350度
温度控制方式,全电脑PID闭环控制，SSR驱动,全电脑PID闭环控制，SSR驱动
整机控制方式,工业触摸屏+西门子PLC,工业触摸屏+西门子PLC
温度控制精度,±1度,±1度
PCB板温度分布差,±3度,±3度
冷却方式,,冷水冷却
报警,,温度异常（恒温后超高温或超低温 ）
三色灯指示,,三色信号指示灯：黄-升温 绿-恒温 红-异常
机体参数,机体参数,
重量,Approx.2800kg,Approx.2800kg
外形尺寸,L5650*W1400*H1600,L5650*W1400*H1600
排风量要求,,10立方/min 2通道φ180mm
氮气部分,氮气部分,
氮气保护装置,氮气流量20-30立方/小时 氧浓度500-800PPM,氮气流量20-30立方/小时 氧浓度500-800PPM
外置水冷系统,功率3P 制冷速度 ≥3-6度/sec,功率3P 制冷速度 ≥3-6度/sec
