产品网址：http://www.znwdz.com/productinfo/272357.html
产品结构：root->场效应管TO-263封装-厦门中能微电子有限公司-凯茂半导体（厦门）有限公司官网

|产品名称|产品型号|功能描述|
|----|----|----|
|场效应管|TO-263 封装|无|

TYPENO.,PACKAGE,ID(A),VDSS(V),RDS(on)(Ω),VGS(th)(V),CISS(pf),Download
KM6N40,TO-263/264,6,400,0.95,2-4,1000,Datasheet
KM10N40,TO-263/264,10,400,0.48,2-4,1192,Datasheet
KM12N40,TO-263/264,12,400,0.35,2-4,1940,Datasheet
KM10N45,TO-263/264,10,450,0.53,2-4,1192,Datasheet
KM12N45,TO-263/264,12,450,0.38,2-4,1940,Datasheet
KM5N50,TO-263/264,5,500,1.4,2-4,1000,Datasheet
KM8N50,TO-263/264,8,500,0.68,2-4,1192,Datasheet
KM13N50,TO-263/264,13,500,0.45,2-4,1940,Datasheet
KM14N50,TO-263/264,14,500,0.38,2-4,1321,Datasheet
KM15N50,TO-263/264,15,500,0.34,2-4,1517,Datasheet
KM18N50,TO-263/264,18,500,0.32,2-4,2310,Datasheet
KM28N50,TO-263/264,28,500,0.16,2-4,3300,Datasheet
KM45N50,TO-263/264,45,500,0.085,2-4,9400,Datasheet
