产品网址：http://www.hpmicro.com/product/series.html?id=b793ac43-1155-43f8-abf9-33626c063f0e
产品结构：root->先楫半导体

|产品名称|产品型号|功能描述|
|----|----|----|
|微控制器|HPM5300 系列|高性能运动控制 MCU，具备强劲性能、丰富接口、更小封装、卓越品质等优势，主频 480MHz，支持运动协处理器，支持灵活的编码器输入输出|




HPM5361,单核 32 位 RISC-V 处理器,288,/,/.1,CAN FD,USB HS w/ PHY ×1,"AES128/256, SHA-1/256",2*16bit,14×14 100LQFP P0.5，10×10 64LQFP P0.5，6×6 48QFN P0.4,−40 ∼ 125◦C Tj / −40 ∼ 105◦C Ta
HPM5331,单核 32 位 RISC-V 处理器,288,/,/,/,USB HS w/ PHY ×1,"AES128/256, SHA-1/256",2*16bit,14×14 100LQFP P0.5，10×10 64LQFP P0.5，6×6 48QFN P0.4,−40 ∼ 125◦C Tj / −40 ∼ 105◦C Ta
HPM5321,单核 32 位 RISC-V 处理器,288,/,/,CAN FD,USB HS w/ PHY ×1,"AES128/256, SHA-1/256",2*16bit,14×14 100LQFP P0.5 10×10 64LQFP P0.5 6×6 48QFN P0.4,−40 ∼ 125◦C Tj / −40 ∼ 105◦C Ta





HPM5361,单核 32 位 RISC-V 处理器,288,/,/.1,CAN FD,USB HS w/ PHY ×1,"AES128/256, SHA-1/256",2*16bit,14×14 100LQFP P0.5，10×10 64LQFP P0.5，6×6 48QFN P0.4,−40 ∼ 125◦C Tj / −40 ∼ 105◦C Ta
HPM5331,单核 32 位 RISC-V 处理器,288,/,/,/,USB HS w/ PHY ×1,"AES128/256, SHA-1/256",2*16bit,14×14 100LQFP P0.5，10×10 64LQFP P0.5，6×6 48QFN P0.4,−40 ∼ 125◦C Tj / −40 ∼ 105◦C Ta
HPM5321,单核 32 位 RISC-V 处理器,288,/,/,CAN FD,USB HS w/ PHY ×1,"AES128/256, SHA-1/256",2*16bit,14×14 100LQFP P0.5 10×10 64LQFP P0.5 6×6 48QFN P0.4,−40 ∼ 125◦C Tj / −40 ∼ 105◦C Ta
