产品网址：https://www.china-cpu.com/news_detail-87-88-176.html
产品结构：root->SZLX8025核心板-产品-产品中心2-北京神州龙芯集成电路设计有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|SZLX8025 核心板|无|无|

Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
产品简介,产品简介,产品简介,产品简介,产品简介,产品简介
,,,,,
SZLX8025  核心板是一款面向工业自动化控制领域的高性价比嵌入式主板，其硬件核心为 工业级的  GSC328X 系列芯片  （包括 GSC3280 和 GSC3281）。GSC328X 核心板采用嵌入式 Linux 实时多任务操作系统(内核 3.0.4)，并针对板载的各个接口，提供了完整的接口底层驱动以及 丰富的应用程序范例。用户可以在此基础上，利用熟悉的各种软件工具，直接开发自己的应 用程序，以方便、快速的构成各种高性能工控产品。,SZLX8025  核心板是一款面向工业自动化控制领域的高性价比嵌入式主板，其硬件核心为 工业级的  GSC328X 系列芯片  （包括 GSC3280 和 GSC3281）。GSC328X 核心板采用嵌入式 Linux 实时多任务操作系统(内核 3.0.4)，并针对板载的各个接口，提供了完整的接口底层驱动以及 丰富的应用程序范例。用户可以在此基础上，利用熟悉的各种软件工具，直接开发自己的应 用程序，以方便、快速的构成各种高性能工控产品。,SZLX8025  核心板是一款面向工业自动化控制领域的高性价比嵌入式主板，其硬件核心为 工业级的  GSC328X 系列芯片  （包括 GSC3280 和 GSC3281）。GSC328X 核心板采用嵌入式 Linux 实时多任务操作系统(内核 3.0.4)，并针对板载的各个接口，提供了完整的接口底层驱动以及 丰富的应用程序范例。用户可以在此基础上，利用熟悉的各种软件工具，直接开发自己的应 用程序，以方便、快速的构成各种高性能工控产品。,SZLX8025  核心板是一款面向工业自动化控制领域的高性价比嵌入式主板，其硬件核心为 工业级的  GSC328X 系列芯片  （包括 GSC3280 和 GSC3281）。GSC328X 核心板采用嵌入式 Linux 实时多任务操作系统(内核 3.0.4)，并针对板载的各个接口，提供了完整的接口底层驱动以及 丰富的应用程序范例。用户可以在此基础上，利用熟悉的各种软件工具，直接开发自己的应 用程序，以方便、快速的构成各种高性能工控产品。,SZLX8025  核心板是一款面向工业自动化控制领域的高性价比嵌入式主板，其硬件核心为 工业级的  GSC328X 系列芯片  （包括 GSC3280 和 GSC3281）。GSC328X 核心板采用嵌入式 Linux 实时多任务操作系统(内核 3.0.4)，并针对板载的各个接口，提供了完整的接口底层驱动以及 丰富的应用程序范例。用户可以在此基础上，利用熟悉的各种软件工具，直接开发自己的应 用程序，以方便、快速的构成各种高性能工控产品。,SZLX8025  核心板是一款面向工业自动化控制领域的高性价比嵌入式主板，其硬件核心为 工业级的  GSC328X 系列芯片  （包括 GSC3280 和 GSC3281）。GSC328X 核心板采用嵌入式 Linux 实时多任务操作系统(内核 3.0.4)，并针对板载的各个接口，提供了完整的接口底层驱动以及 丰富的应用程序范例。用户可以在此基础上，利用熟悉的各种软件工具，直接开发自己的应 用程序，以方便、快速的构成各种高性能工控产品。
,,,,,
主要特点,主要特点,主要特点,主要特点,主要特点,主要特点
,,,,,
◆  丰富的标准接口资源,◆  丰富的标准接口资源,◆  丰富的标准接口资源,◆  丰富的标准接口资源,◆  丰富的标准接口资源,◆  丰富的标准接口资源
100M 以太网接口，支持 Linux 操作系统的 Socket 操作；  8 个标准异步串口，可支持 RS232、RS485；  CAN 总线接口；（仅 GSC3280）  USB OTG 接口（USB2.0），可支持 Host 和 Device 模式；  标准 SPI 接口；  4 路 ADC 输入，分辨率 12-bit；1 路电池检测输入，也可作为 8-bit 分辨率的 ADC 输入使用；  8 位外部存储器总线接口；  I2S 总线接口；  1 路 ISO7816 接口，可支持标准 PSAM、SIM 卡；  LCD 数字屏接口，最高支持 1440*900 分辨率；（仅 GSC3280）  SD/SDIO 接口，直接支持 SD 卡或者 SDIO 设备，比如 WIFI 模块；（仅 GSC3280）  只支持四线电阻触摸屏；（仅 GSC3280）  多个可配置的 GPIO。,100M 以太网接口，支持 Linux 操作系统的 Socket 操作；  8 个标准异步串口，可支持 RS232、RS485；  CAN 总线接口；（仅 GSC3280）  USB OTG 接口（USB2.0），可支持 Host 和 Device 模式；  标准 SPI 接口；  4 路 ADC 输入，分辨率 12-bit；1 路电池检测输入，也可作为 8-bit 分辨率的 ADC 输入使用；  8 位外部存储器总线接口；  I2S 总线接口；  1 路 ISO7816 接口，可支持标准 PSAM、SIM 卡；  LCD 数字屏接口，最高支持 1440*900 分辨率；（仅 GSC3280）  SD/SDIO 接口，直接支持 SD 卡或者 SDIO 设备，比如 WIFI 模块；（仅 GSC3280）  只支持四线电阻触摸屏；（仅 GSC3280）  多个可配置的 GPIO。,100M 以太网接口，支持 Linux 操作系统的 Socket 操作；  8 个标准异步串口，可支持 RS232、RS485；  CAN 总线接口；（仅 GSC3280）  USB OTG 接口（USB2.0），可支持 Host 和 Device 模式；  标准 SPI 接口；  4 路 ADC 输入，分辨率 12-bit；1 路电池检测输入，也可作为 8-bit 分辨率的 ADC 输入使用；  8 位外部存储器总线接口；  I2S 总线接口；  1 路 ISO7816 接口，可支持标准 PSAM、SIM 卡；  LCD 数字屏接口，最高支持 1440*900 分辨率；（仅 GSC3280）  SD/SDIO 接口，直接支持 SD 卡或者 SDIO 设备，比如 WIFI 模块；（仅 GSC3280）  只支持四线电阻触摸屏；（仅 GSC3280）  多个可配置的 GPIO。,100M 以太网接口，支持 Linux 操作系统的 Socket 操作；  8 个标准异步串口，可支持 RS232、RS485；  CAN 总线接口；（仅 GSC3280）  USB OTG 接口（USB2.0），可支持 Host 和 Device 模式；  标准 SPI 接口；  4 路 ADC 输入，分辨率 12-bit；1 路电池检测输入，也可作为 8-bit 分辨率的 ADC 输入使用；  8 位外部存储器总线接口；  I2S 总线接口；  1 路 ISO7816 接口，可支持标准 PSAM、SIM 卡；  LCD 数字屏接口，最高支持 1440*900 分辨率；（仅 GSC3280）  SD/SDIO 接口，直接支持 SD 卡或者 SDIO 设备，比如 WIFI 模块；（仅 GSC3280）  只支持四线电阻触摸屏；（仅 GSC3280）  多个可配置的 GPIO。,100M 以太网接口，支持 Linux 操作系统的 Socket 操作；  8 个标准异步串口，可支持 RS232、RS485；  CAN 总线接口；（仅 GSC3280）  USB OTG 接口（USB2.0），可支持 Host 和 Device 模式；  标准 SPI 接口；  4 路 ADC 输入，分辨率 12-bit；1 路电池检测输入，也可作为 8-bit 分辨率的 ADC 输入使用；  8 位外部存储器总线接口；  I2S 总线接口；  1 路 ISO7816 接口，可支持标准 PSAM、SIM 卡；  LCD 数字屏接口，最高支持 1440*900 分辨率；（仅 GSC3280）  SD/SDIO 接口，直接支持 SD 卡或者 SDIO 设备，比如 WIFI 模块；（仅 GSC3280）  只支持四线电阻触摸屏；（仅 GSC3280）  多个可配置的 GPIO。,100M 以太网接口，支持 Linux 操作系统的 Socket 操作；  8 个标准异步串口，可支持 RS232、RS485；  CAN 总线接口；（仅 GSC3280）  USB OTG 接口（USB2.0），可支持 Host 和 Device 模式；  标准 SPI 接口；  4 路 ADC 输入，分辨率 12-bit；1 路电池检测输入，也可作为 8-bit 分辨率的 ADC 输入使用；  8 位外部存储器总线接口；  I2S 总线接口；  1 路 ISO7816 接口，可支持标准 PSAM、SIM 卡；  LCD 数字屏接口，最高支持 1440*900 分辨率；（仅 GSC3280）  SD/SDIO 接口，直接支持 SD 卡或者 SDIO 设备，比如 WIFI 模块；（仅 GSC3280）  只支持四线电阻触摸屏；（仅 GSC3280）  多个可配置的 GPIO。
,,,,,
◆  紧凑的外型尺寸,◆  紧凑的外型尺寸,◆  紧凑的外型尺寸,◆  紧凑的外型尺寸,◆  紧凑的外型尺寸,◆  紧凑的外型尺寸
SZLX8025核心板的外型尺寸仅为：55mm*45mm，核心板通过高性能的板对板连接器（pin 间距 0.8mm）对外连接， 可方便的插接在用户的应用底板上，以便快速搭建各种工控产品。,SZLX8025核心板的外型尺寸仅为：55mm*45mm，核心板通过高性能的板对板连接器（pin 间距 0.8mm）对外连接， 可方便的插接在用户的应用底板上，以便快速搭建各种工控产品。,SZLX8025核心板的外型尺寸仅为：55mm*45mm，核心板通过高性能的板对板连接器（pin 间距 0.8mm）对外连接， 可方便的插接在用户的应用底板上，以便快速搭建各种工控产品。,SZLX8025核心板的外型尺寸仅为：55mm*45mm，核心板通过高性能的板对板连接器（pin 间距 0.8mm）对外连接， 可方便的插接在用户的应用底板上，以便快速搭建各种工控产品。,SZLX8025核心板的外型尺寸仅为：55mm*45mm，核心板通过高性能的板对板连接器（pin 间距 0.8mm）对外连接， 可方便的插接在用户的应用底板上，以便快速搭建各种工控产品。,SZLX8025核心板的外型尺寸仅为：55mm*45mm，核心板通过高性能的板对板连接器（pin 间距 0.8mm）对外连接， 可方便的插接在用户的应用底板上，以便快速搭建各种工控产品。
,,,,,
◆  高性价比,◆  高性价比,◆  高性价比,◆  高性价比,◆  高性价比,◆  高性价比
作为一款工业级品质的工控产品，SZLX8025 核心板采用 6 层沉金板设 计，特别适用于运行环境恶劣、无人值守、连续 24 小时工作、对成本敏感的各种 应用领域，是一款具有高性价比的工业产品。,作为一款工业级品质的工控产品，SZLX8025 核心板采用 6 层沉金板设 计，特别适用于运行环境恶劣、无人值守、连续 24 小时工作、对成本敏感的各种 应用领域，是一款具有高性价比的工业产品。,作为一款工业级品质的工控产品，SZLX8025 核心板采用 6 层沉金板设 计，特别适用于运行环境恶劣、无人值守、连续 24 小时工作、对成本敏感的各种 应用领域，是一款具有高性价比的工业产品。,作为一款工业级品质的工控产品，SZLX8025 核心板采用 6 层沉金板设 计，特别适用于运行环境恶劣、无人值守、连续 24 小时工作、对成本敏感的各种 应用领域，是一款具有高性价比的工业产品。,作为一款工业级品质的工控产品，SZLX8025 核心板采用 6 层沉金板设 计，特别适用于运行环境恶劣、无人值守、连续 24 小时工作、对成本敏感的各种 应用领域，是一款具有高性价比的工业产品。,作为一款工业级品质的工控产品，SZLX8025 核心板采用 6 层沉金板设 计，特别适用于运行环境恶劣、无人值守、连续 24 小时工作、对成本敏感的各种 应用领域，是一款具有高性价比的工业产品。
,,,,,
SZLX8025核心板硬件特性,SZLX8025核心板硬件特性,SZLX8025核心板硬件特性,SZLX8025核心板硬件特性,SZLX8025核心板硬件特性,SZLX8025核心板硬件特性
,,,,,
,,,,,
,,,,,
处理器,处理器,处理器,处理器,处理器,处理器
基于神州龙芯  GSC328X  处理器，主频300MHz,基于神州龙芯  GSC328X  处理器，主频300MHz,基于神州龙芯  GSC328X  处理器，主频300MHz,基于神州龙芯  GSC328X  处理器，主频300MHz,基于神州龙芯  GSC328X  处理器，主频300MHz,基于神州龙芯  GSC328X  处理器，主频300MHz
,,,,,
核心板引脚功能,核心板引脚功能,核心板引脚功能,核心板引脚功能,核心板引脚功能,核心板引脚功能
