产品网址：http://www.china-cpu.com/news_detail-87-88-47.html
产品结构：root->GSC3281嵌入式处理器-产品-产品中心2-北京神州龙芯集成电路设计有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|嵌入式处理器|GSC3281|无|

Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,
产品简介,产品简介,产品简介,产品简介
GSC3281芯片是一款主要面向工业终端类应用的SOC芯片，采用0.13um标准CMOS制造工艺，主频200～300MHZ。GSC3281主控处理器为32位处理器，在片内集成了丰富的功能模块与外围设备，包括10/100Mbps以太网MAC控制器、USB2.0 OTG控制器、DDR2控制器、NAND Flash控制器、I2C、I2S、UART、SPI、PWM、旋转编码器鉴相器、定时器等等。丰富的片内集成设备提高了整体性能，降低了系统成本，并可以满足更多的应用需求。  GSC3281是GSC3280的精简版，专为电力集中器、专变终端、能效终端等电力行业终端应用设计，成本更低。基于GSC32  81的电力集中器、专变终端评估板已设计实现，形成了完整的电力终端解决方案。具体内容请见GSC3281应用方案。,GSC3281芯片是一款主要面向工业终端类应用的SOC芯片，采用0.13um标准CMOS制造工艺，主频200～300MHZ。GSC3281主控处理器为32位处理器，在片内集成了丰富的功能模块与外围设备，包括10/100Mbps以太网MAC控制器、USB2.0 OTG控制器、DDR2控制器、NAND Flash控制器、I2C、I2S、UART、SPI、PWM、旋转编码器鉴相器、定时器等等。丰富的片内集成设备提高了整体性能，降低了系统成本，并可以满足更多的应用需求。  GSC3281是GSC3280的精简版，专为电力集中器、专变终端、能效终端等电力行业终端应用设计，成本更低。基于GSC32  81的电力集中器、专变终端评估板已设计实现，形成了完整的电力终端解决方案。具体内容请见GSC3281应用方案。,GSC3281芯片是一款主要面向工业终端类应用的SOC芯片，采用0.13um标准CMOS制造工艺，主频200～300MHZ。GSC3281主控处理器为32位处理器，在片内集成了丰富的功能模块与外围设备，包括10/100Mbps以太网MAC控制器、USB2.0 OTG控制器、DDR2控制器、NAND Flash控制器、I2C、I2S、UART、SPI、PWM、旋转编码器鉴相器、定时器等等。丰富的片内集成设备提高了整体性能，降低了系统成本，并可以满足更多的应用需求。  GSC3281是GSC3280的精简版，专为电力集中器、专变终端、能效终端等电力行业终端应用设计，成本更低。基于GSC32  81的电力集中器、专变终端评估板已设计实现，形成了完整的电力终端解决方案。具体内容请见GSC3281应用方案。,GSC3281芯片是一款主要面向工业终端类应用的SOC芯片，采用0.13um标准CMOS制造工艺，主频200～300MHZ。GSC3281主控处理器为32位处理器，在片内集成了丰富的功能模块与外围设备，包括10/100Mbps以太网MAC控制器、USB2.0 OTG控制器、DDR2控制器、NAND Flash控制器、I2C、I2S、UART、SPI、PWM、旋转编码器鉴相器、定时器等等。丰富的片内集成设备提高了整体性能，降低了系统成本，并可以满足更多的应用需求。  GSC3281是GSC3280的精简版，专为电力集中器、专变终端、能效终端等电力行业终端应用设计，成本更低。基于GSC32  81的电力集中器、专变终端评估板已设计实现，形成了完整的电力终端解决方案。具体内容请见GSC3281应用方案。
,,,
芯片架构,芯片架构,芯片架构,芯片架构
,,,
,,,
接口特性,接口特性,接口特性,接口特性
,,,
,,,
,,,
,,,
