产品网址：http://www.china-cpu.com/news_detail-87-88-46.html
产品结构：root->GSC3280嵌入式处理器-产品-产品中心2-北京神州龙芯集成电路设计有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|GSC3280 嵌入式处理器|无|无|

Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,
产品定位,产品定位,产品定位,产品定位
Ø 运行在300M~400MHz左右终端产品  Ø 终端产品带显示或不带显示,Ø 运行在300M~400MHz左右终端产品  Ø 终端产品带显示或不带显示,Ø 运行在300M~400MHz左右终端产品  Ø 终端产品带显示或不带显示,Ø 运行在300M~400MHz左右终端产品  Ø 终端产品带显示或不带显示
,,,
产品简介,产品简介,产品简介,产品简介
GSC3280芯片是一款主要面向工业终端类应用的SOC芯片，采用0.13um标准CMOS制造工艺，主频300MHZ。GSC3280主控处理器为32位处理器，在片内集成了丰富的功能模块与外围设备，包括10/100Mbps以太网MAC控制器、USB2.0 OTG控制器、DDR2控制器、NAND Flash控制器、SD/SDIO主控制器、LCD控制器、I2C、I2S、UART、SPI、PWM、旋转编码器鉴相器、定时器等等。丰富的片内集成设备提高了整体性能，降低了系统成本，并可以满足更多的应用需求。  GSC3280芯片的一个显著特征是采用32位龙芯处理器作为主控处理器。32位龙芯处理器是一款7级流水乱序执行RISC处理器，具有独立的16KB指令cache与16KB数据cache，支持MMU，可以运行Linux、VxWorks等主流操作系统。  GSC3280内部总线架构采用主流的AXI、AHB、APB总线，并针对片内设备的特点与应用需求进行了一系列设计结构优化，提高了系统性能与数据吞吐率。同时，GSC3280芯片采用了一系列的低功耗优化措施，包括休眠模式、关闭无用时钟、低频运行等，软硬件的配合可以显著降低整个芯片的功耗。针对具体应用，通过软硬件优化措施，GSC3280芯片可在性能、功耗、灵活性等方面达到一个优化的平衡。  GSC3280以其高效的处理能力、丰富的外设接口，可胜任工控HMI、嵌入式数据采集、税控终端等多种应用，具体内容请见GSC3280应用方案。,GSC3280芯片是一款主要面向工业终端类应用的SOC芯片，采用0.13um标准CMOS制造工艺，主频300MHZ。GSC3280主控处理器为32位处理器，在片内集成了丰富的功能模块与外围设备，包括10/100Mbps以太网MAC控制器、USB2.0 OTG控制器、DDR2控制器、NAND Flash控制器、SD/SDIO主控制器、LCD控制器、I2C、I2S、UART、SPI、PWM、旋转编码器鉴相器、定时器等等。丰富的片内集成设备提高了整体性能，降低了系统成本，并可以满足更多的应用需求。  GSC3280芯片的一个显著特征是采用32位龙芯处理器作为主控处理器。32位龙芯处理器是一款7级流水乱序执行RISC处理器，具有独立的16KB指令cache与16KB数据cache，支持MMU，可以运行Linux、VxWorks等主流操作系统。  GSC3280内部总线架构采用主流的AXI、AHB、APB总线，并针对片内设备的特点与应用需求进行了一系列设计结构优化，提高了系统性能与数据吞吐率。同时，GSC3280芯片采用了一系列的低功耗优化措施，包括休眠模式、关闭无用时钟、低频运行等，软硬件的配合可以显著降低整个芯片的功耗。针对具体应用，通过软硬件优化措施，GSC3280芯片可在性能、功耗、灵活性等方面达到一个优化的平衡。  GSC3280以其高效的处理能力、丰富的外设接口，可胜任工控HMI、嵌入式数据采集、税控终端等多种应用，具体内容请见GSC3280应用方案。,GSC3280芯片是一款主要面向工业终端类应用的SOC芯片，采用0.13um标准CMOS制造工艺，主频300MHZ。GSC3280主控处理器为32位处理器，在片内集成了丰富的功能模块与外围设备，包括10/100Mbps以太网MAC控制器、USB2.0 OTG控制器、DDR2控制器、NAND Flash控制器、SD/SDIO主控制器、LCD控制器、I2C、I2S、UART、SPI、PWM、旋转编码器鉴相器、定时器等等。丰富的片内集成设备提高了整体性能，降低了系统成本，并可以满足更多的应用需求。  GSC3280芯片的一个显著特征是采用32位龙芯处理器作为主控处理器。32位龙芯处理器是一款7级流水乱序执行RISC处理器，具有独立的16KB指令cache与16KB数据cache，支持MMU，可以运行Linux、VxWorks等主流操作系统。  GSC3280内部总线架构采用主流的AXI、AHB、APB总线，并针对片内设备的特点与应用需求进行了一系列设计结构优化，提高了系统性能与数据吞吐率。同时，GSC3280芯片采用了一系列的低功耗优化措施，包括休眠模式、关闭无用时钟、低频运行等，软硬件的配合可以显著降低整个芯片的功耗。针对具体应用，通过软硬件优化措施，GSC3280芯片可在性能、功耗、灵活性等方面达到一个优化的平衡。  GSC3280以其高效的处理能力、丰富的外设接口，可胜任工控HMI、嵌入式数据采集、税控终端等多种应用，具体内容请见GSC3280应用方案。,GSC3280芯片是一款主要面向工业终端类应用的SOC芯片，采用0.13um标准CMOS制造工艺，主频300MHZ。GSC3280主控处理器为32位处理器，在片内集成了丰富的功能模块与外围设备，包括10/100Mbps以太网MAC控制器、USB2.0 OTG控制器、DDR2控制器、NAND Flash控制器、SD/SDIO主控制器、LCD控制器、I2C、I2S、UART、SPI、PWM、旋转编码器鉴相器、定时器等等。丰富的片内集成设备提高了整体性能，降低了系统成本，并可以满足更多的应用需求。  GSC3280芯片的一个显著特征是采用32位龙芯处理器作为主控处理器。32位龙芯处理器是一款7级流水乱序执行RISC处理器，具有独立的16KB指令cache与16KB数据cache，支持MMU，可以运行Linux、VxWorks等主流操作系统。  GSC3280内部总线架构采用主流的AXI、AHB、APB总线，并针对片内设备的特点与应用需求进行了一系列设计结构优化，提高了系统性能与数据吞吐率。同时，GSC3280芯片采用了一系列的低功耗优化措施，包括休眠模式、关闭无用时钟、低频运行等，软硬件的配合可以显著降低整个芯片的功耗。针对具体应用，通过软硬件优化措施，GSC3280芯片可在性能、功耗、灵活性等方面达到一个优化的平衡。  GSC3280以其高效的处理能力、丰富的外设接口，可胜任工控HMI、嵌入式数据采集、税控终端等多种应用，具体内容请见GSC3280应用方案。
,,,
芯片架构,芯片架构,芯片架构,芯片架构
,,,
,,,
