产品网址：http://hi-sensor.com/productinfo/948965.html
产品结构：root->低功耗GPRS温湿度变送器（C5壳体）-武汉森索科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|低功耗 GPRS 温湿度变送器（C5 壳体）|无|采用带有大屏液晶显示屏的外壳，通过按键可进行温湿度上下限控制，限值自由设置，温度、湿度校准等操作；采用高精度温湿度测量单元，内部集成报警功能模块（蜂鸣器），皆有抗干扰能力强等特点，可实现超高、低温、高、低湿报警；通过微信扫一扫，连接我司免费慧农云助手微信平台，按操作步骤添加即可；通过微信平台可查看当前的温湿度值，将历史数据转化为曲线，多人绑定同一台设备，当设备离线或数值超限时具有报警功能；设备采用低功耗实际，电池使用时间更长，多种天线可选，天线长 5 米（选配）|

设备供电,DC10~30V供电或DC5V供电或内置电池供电,DC10~30V供电或DC5V供电或内置电池供电.1,DC10~30V供电或DC5V供电或内置电池供电.2
功耗,GPRS选型，0.012W,GPRS选型，0.012W,GPRS选型，0.012W
功耗,4G选型，0.018W,4G选型，0.018W,4G选型，0.018W
通信接口,GPRS/GSM，中国移动或中国联通的手机网络,GPRS/GSM，中国移动或中国联通的手机网络,GPRS/GSM，中国移动或中国联通的手机网络
通信接口,4G，中国移动、中国联通或中国电信的手机网络,4G，中国移动、中国联通或中国电信的手机网络,4G，中国移动、中国联通或中国电信的手机网络
数据上传,GPRS/4G进行数据上传，电池供电状态下数据上传间隔可设，电源供电状况下 1 分钟上传 1 次,GPRS/4G进行数据上传，电池供电状态下数据上传间隔可设，电源供电状况下 1 分钟上传 1 次,GPRS/4G进行数据上传，电池供电状态下数据上传间隔可设，电源供电状况下 1 分钟上传 1 次
上传平台,云平台,云平台,云平台
测量范围,温度,探头内置型,-20~+60℃
测量范围,温度,探头外置型,-40~+80℃
测量范围,湿度,探头内置型,0~95%RH
测量范围,湿度,探头外置型,0~100%RH
变送器电路工作温湿度,-20℃～+60℃，0%RH～95%RH（非结露）,-20℃～+60℃，0%RH～95%RH（非结露）,-20℃～+60℃，0%RH～95%RH（非结露）
测量精度,温度,普通精度：±0.5℃（25℃）；高精度：±0.2℃（25℃）,普通精度：±0.5℃（25℃）；高精度：±0.2℃（25℃）
测量精度,湿度,"普通精度：±3%RH(60%RH,25℃)；  高精度：±2%RH(60%RH,25℃)","普通精度：±3%RH(60%RH,25℃)；  高精度：±2%RH(60%RH,25℃)"
温度显示分辨率,0.1℃,0.1℃,0.1℃
湿度显示分辨率,0.1%RH,0.1%RH,0.1%RH
温湿度刷新时间,1s,1s,1s
电池供电时长,无供电状态、3min 上传一次数据情况下，一次充电可续航 1-2 个月,无供电状态、3min 上传一次数据情况下，一次充电可续航 1-2 个月,无供电状态、3min 上传一次数据情况下，一次充电可续航 1-2 个月


Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,公司代号
WS-,,,,温湿度变送器
,GPRS-,,,GPRS方式
,4G-,,,4G方式
,,C5-,,C5外壳
,,,4.0,内置精装探头
,,,5.0,外置精装探头
