产品网址：http://hi-sensor.com/productinfo/945480.html?templateId=1133605
产品结构：root->工业型壁挂液晶温湿度变送器（485型）-武汉森索科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|工业型壁挂液晶温湿度变送器|485 型|采用美国进口工业级微处理器芯片、进口高精度温湿度传感器，长期稳定性好，漂移小；采用专用的 485 电路，标准 ModBus-RTU 通信协议，通信地址及波特率可设置；壳体带有 LCD 液晶显示屏，美观大方，抗灰尘防护等级高（IP65）；设备壳体采用带按键设计，通过按键可设置修改参数，操作十分方便。|

直流供电（默认）,DC 10-30V,DC 10-30V.1,DC 10-30V.2
最大功耗,0.4W,0.4W,0.4W
A准精度,湿度,"±2%RH(60%RH,25℃)","±2%RH(60%RH,25℃)"
A准精度,温度,±0.4℃（25℃）,±0.4℃（25℃）
B准精度  （默认）,湿度,"±3%RH(60%RH,25℃)","±3%RH(60%RH,25℃)"
B准精度  （默认）,温度,±0.5℃（25℃）,±0.5℃（25℃）
变送器电路工作温湿度,-20℃~+60℃，0%RH~95%RH（非结露）,-20℃~+60℃，0%RH~95%RH（非结露）,-20℃~+60℃，0%RH~95%RH（非结露）
探头工作温度,-40℃~+120℃ 默认：-40℃~+80℃,-40℃~+120℃ 默认：-40℃~+80℃,-40℃~+120℃ 默认：-40℃~+80℃
探头工作湿度,0%RH-100%RH,0%RH-100%RH,0%RH-100%RH
通信协议,Modbus-RTU通信协议,Modbus-RTU通信协议,Modbus-RTU通信协议
输出信号,485信号,485信号,485信号
温度显示分辨率,0.1℃,0.1℃,0.1℃
湿度显示分辨率,0.1%RH,0.1%RH,0.1%RH
温湿度刷新时间,1s,1s,1s
开孔尺寸,70mm,70mm,70mm
长期稳定性,湿度,湿度,≤1%RH/y
长期稳定性,温度,温度,≤0.1℃/y
响应时间,湿度,湿度,≤8s(1m/s风速)
响应时间,温度,温度,≤25s(1m/s风速)
参数设置,通过软件设置或者按键直接修改,通过软件设置或者按键直接修改,通过软件设置或者按键直接修改


Unnamed: 1,Unnamed: 2,Unnamed: 3,公司代号
WS-,,,温湿度变送、传感器
,N01-,,485通讯（Modbus-RTU协议）
,,2D-LCD,工业型壁挂（液晶显示）
