产品网址：https://dtc-solutions.cn/product
产品结构：root->产品展示|腾振科技

|产品名称|产品型号|功能描述|
|----|----|----|
|MIMO 振动控制器|无|基于 PXIe 总线与多 DSP 板卡结构，通过不同数量数据采集板卡和输出板卡的组合，可轻松实现多输入多输出振动控制|
|VENZO 800 系列振动控制器|无|是一款非常优秀的控制器，具有极高的性价比。可提供从 2 通道到多通道的振动控制解决方案。仪器采用国际最先进的 DSP 框架和控制算法，32 位浮点 450 MHz DSP 处理器，高性能 24 位 ADC，高达 135 dB 的动态范围|
|VENZO 700 系列动态信号分析仪|无|是一款好用的、高性价比的分析仪。可提供从 2 通道到多通道的数据采集与信号分析解决方案。仪器采用国际最先进的 DSP 框架和算法，32 位浮点 450 MHz DSP 处理器，高性能的 24 位 ADC，高达 135 dB 的动态范围|
|振动台检定系统|无|无|
|传感器校准系统 VENZO 8210|无|特点高速标准以太网接口，PC 机无需额外安装驱动程序先进的浮地设计，传导无风扇制冷，实现更低的系统本底噪声频率范围覆盖 0.1Hz~25600 Hz（取决于选型的标准台、标准传感器）低扩展不确定度（在 160 Hz 参考频率，100m/s^2 参考加速度量级下，扩展不确定度＜1%）；采用背靠背比对法，可实现对加速度计、速度计、位移计等传感器的校准|
|冲击测量仪|VENZO 640/680|用于捕捉和分析瞬态加速度信号，比如跌落信号、碰撞信号或者冲击波|
|高冲击测量仪|无|无|
|手持式分析仪|无|无|
|小型振动台|TENZO 系列|为结构振动试验、疲劳试验、结构动态特性测试和相关应用而设计研发。采用高品质的永磁材料，振动台推力可从 10N 到 1000N|
