产品网址：https://www.ztedevices.com/en/products/tablet.html
产品结构：root->Tablet

|产品名称|产品型号|功能描述|
|--|--|--|
|ZTE Blade V60 Design|无|无|
|ZTE Blade V60|无|无|
|ZTE Blade V50 Design|无|无|
|ZTE Blade V50 5G|无|无|
|ZTE Blade V50 Design 5G|无|无|
|ZTE Blade V50 Vita|无|无|
|ZTE Blade A73|无|无|
|ZTE Blade A72s|无|无|
|ZTE Blade A54|无|无|
|ZTE Blade A53 Pro|无|无|
|ZTE Blade A53|无|无|
|ZTE Blade A34|无|无|
|ZTE Blade A33s|无|无|
|nubia Flip 5G|无|无|
|nubia Focus 5G|无|无|
|nubia Focus Pro 5G|无|无|
|nubia Music|无|无|
|nubia Neo 2 5G|无|无|
|nubia Z60 Ultra|无|无|
|nubia Neo 5G|无|无|
|nubia Z50S Pro|无|无|
|nubia Z50|无|无|
|nubia Pad 3D II|无|无|
|nubia Pad 3D|无|Eyewear-free for Immersive 3D Experience|
