产品网址：http://www.hxinwei.com/cpzx
产品结构：root->产品中心-华芯威半导体科技（北京）有限责任公司

|产品名称|产品型号|功能描述|
|--|--|--|
|肖特基二极管|无|基本无开关损耗，零反向恢复电流，更高的系统效率，与温度无关的温度特性，更低的冷却需求，高开关速度|
|碳化硅场效应晶体管|无|高阻断电压，低导通电阻，雪崩耐受性强，便于并联，易于驱动，更高的系统效率，更低的冷却需求，更高的功率密度，更高的系统开关频率|
|碳化硅功率模块|无|高速开关，低开关损耗，低输入电容，低驱动要求，小尺寸，最小寄生电感|
|特种模块电源|无|无|
|智能配电组合|无|无|
|车载直流电源系列|无|高精确和高稳定度，极低纹波和噪声，低压差电路设计，低功耗短路保护模式，良好的电磁兼容性，快速瞬态响应特征，多路输出组合|
|肖特基二极管（SBD）|无|结合先进的薄片技术与抗浪涌技术，在显著提升产品电流密度、降低正向导通电压的同时，仍保持高的浪涌电流以及低的反向漏电|
|金属氧化物场效应晶体管（MOSFET）|无|实现更高开关速度，更低导通电阻，且在全温区参数变化小，更适合高温应用。可大幅降低开关损耗和系统周边元器件，实现小型化|
|碳化硅功率模块|无|该功率模块系列还提供了更宽的温度范围，以及满足下一代功率转换系统对更高的功率密度、工作频率和效率的要求|
|10kW 直流 540V 电源|无|自主开发定制电源，由电源模块、机箱、控制电路、连接器等组成，主要用于车载空调和车载设备电源|
