产品网址：https://www.hoperf.cn/isolation/Driver/index.html
产品结构：root->产品列表-RF射频、数字传感器产品专业设计生产商-深圳市华普微电子股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|Sub-1GHz 芯片|无|无|
|发射芯片|无|无|
|接收芯片|无|无|
|收发芯片|无|无|
|SOC 接收芯片|无|无|
|SOC 发射芯片|无|无|
|SOC 收发芯片|无|无|
|编码发射芯片|无|无|
|微能量收集发射芯片|无|无|
|Sub-1GHz 模块|无|无|
|发射模块|无|无|
|接收模块|无|无|
|收发模块|无|无|
|SOC 射频收发模块|无|无|
|大功率收发模块|无|无|
|Sub-1GHz 透传|无|无|
|LoRa SPI 模块|无|无|
|LoRa 透传模块|无|无|
|LoRaWAN 模块|无|无|
|Matter 无线模块|无|无|
|蓝牙芯片|无|无|
|蓝牙模块|无|无|
|WiFi 模块|无|无|
|2.4GHz 无线收发模块|无|无|
|气压传感器|无|无|
|绝压传感器|无|无|
|表压传感器|无|无|
|差压传感器|无|无|
|温湿度传感器|无|无|
|温度传感器|无|无|
|温湿度传感器|无|无|
|数字隔离|无|无|
|隔离接口 I2C|无|无|
|隔离接口 RS485|无|无|
|隔离接口 CAN|无|无|
|隔离驱动|无|无|
|CMT8603X|Single-Channel Isolated Gate Driver|无|
|CMT8602X|Reinforced Isolation Dual-Channel Gate Driver|无|
