产品网址：https://hoperf.cn/modules/lora_spi/index.html
产品结构：root->产品列表-RF射频、数字传感器产品专业设计生产商-深圳市华普微电子股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|Sub-1GHz 芯片|无|发射芯片、接收芯片、收发芯片、SOC 接收芯片、SOC 发射芯片、SOC 收发芯片、编码发射芯片、微能量收集发射芯片|
|Sub-1GHz 模块|无|发射模块、接收模块、收发模块、SOC 射频收发模块、大功率收发模块、Sub-1GHz 透传|
|LoRa SPI 模块|无|无|
|LoRa 透传模块|无|无|
|LoRaWAN 模块|无|无|
|Matter 无线模块|无|无|
|蓝牙芯片|无|无|
|蓝牙模块|无|无|
|WiFi 模块|无|无|
|2.4GHz 无线收发模块|无|无|
|气压传感器|无|无|
|绝压传感器|无|无|
|表压传感器|无|无|
|差压传感器|无|无|
|温湿度传感器|无|无|
|温度传感器|无|无|
|温湿度传感器|无|无|
|数字隔离|无|无|
|隔离接口 I2C|无|无|
|隔离接口 RS485|无|无|
|隔离接口 CAN|无|无|
|隔离驱动|无|无|
|RFM91SC|无|LoRa/FSK 收发机，带有屏蔽盖|
|RFM68LC|无|长距离无线收发，带有屏蔽盖|
|RFM97C|无|LoRa/FSK 收发机，20dBm，过 FCC 认证|
|RFM95|无|超长距离扩频通信，超低功耗|
|RFM95C|无|LoRa/FSK 收发机，10dBm，过 FCC 认证|
|RFM90ST|无|LoRa 收发模块|
|RFM95P|无|高性能 LoRa 模块，最大功率 27dBm|
|RFM98P|无|高性能 LoRa 模块，最大功率 30dBm|
|RFM96T|无|超长距离扩频通信，使用温补晶体|
|RFM90C|无|超低功耗、高性能，过 FCC 认证|
|RFM95T|无|超长距离扩频通信，使用温补晶体|
|RFM98|无|超长距离扩频通信，带屏蔽罩|
