产品网址：https://www.hoperf.cn/service/problem
产品结构：root->常见问题-RF射频、数字传感器产品专业设计生产商-深圳市华普微电子股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|蓝牙芯片|CMT4502、CMT4522、CMT4552、CMT4531|无|
|蓝牙模组|HM-BT4502、HM-BT4502B、HM-BT4522、HM-BT4531、HM-BT4531B、HM-BT2204、HM-BT2101、HM-BT2102、HM-BT2701|无|
|Sub-1GHz 芯片|无|无|
|Sub-1GHz 模块|无|无|
|LoRa SPI 模块|无|无|
|LoRa 透传模块|无|无|
|LoRaWAN 模块|无|无|
|Matter 无线模块|无|无|
|蓝牙模块|无|无|
|WiFi 模块|无|无|
|2.4GHz 无线收发模块|无|无|
|气压传感器|无|无|
|绝压传感器|无|无|
|表压传感器|无|无|
|差压传感器|无|无|
|温湿度传感器|无|无|
|温度传感器|无|无|
|数字隔离|无|无|
|隔离接口 I2C|无|无|
|隔离接口 RS485|无|无|
|隔离接口 CAN|无|无|
|隔离驱动|无|无|
