产品网址：http://www.mrdkj.com/products/3
产品结构：root->I-DRIVER（安趋)

|产品名称|产品型号|功能描述|
|----|----|----|
|I-DRIVER（安趋）|无|围绕白色家电、小家电、智能控制、逆变等领域的直流无刷电机驱动、桥式电源驱动等系统已经形成了高、中、低压功率器件驱动芯片 10 余款、模块 3 款|

型号,描述,输入,V  in  Max,V  CC  Max,电流能力 （典型值）,上升沿时间  t  r,下降沿时间 t  f,死区时间 典型值,封装,替换
ID5S605,高压600V高低侧驱动,HIN/LIN,600V,10V-20V,300mA/600mA,85ns,40ns,,SOIC8,IR2101S
ID5S606B,高压600V高低侧驱动,HIN/LIN,600V,10V-20V,300mA/600mA,85ns,40ns,500ns,SOIC8,IR2103S
ID5S609,高压600V高低侧驱动,HIN/LIN,600V,10V-20V,400mA/800mA,70ns,40ns,250ns,SOIC8,IR2106S
ID5S609F1,高压600V高低侧驱动,HIN/LIN,600V,10V-20V,400mA/800mA,70ns,40ns,250ns,SOIC8,IR2304/L6388
ID7U603,高压600V半桥驱动,IN/SD,600V,10V-20V,210mA/360mA,90ns,50ns,540ns,SOIC8,IR2104S
ID2103,高压600V高低侧驱动,HIN/LIN,600V,10V-20V,210mA/360mA,90ns,50ns,540ns,SOIC8,IR2103S/IRS2003S
ID2005,低压200V高低侧驱动,HIN/LIN,200V,6V-18V,1A/1A,50ns,30ns,250ns,SOIC8,FD2103
ID2006,低压200V高低侧驱动,HIN/LIN,200V,6V-18V,1A/1A,50ns,30ns,250ns,SOIC8,
ID2206D,高压600V高低侧驱动 内置自举二极管,HIN/LIN,200V,10V-20V,210mA/360mA,90ns,50ns,150ns,SOIC8,IR2106S
ID7S0230D,低压36V半桥驱动 内置自举二极管/自适应死区,IN/EN,36V,5V-18V,3.5A/3A,16ns,15ns,160ns,DFN8,NCP81155
ID7S210AD,低压200V高低侧驱动 内置自举二极管,HIN/LIN,200V,5V-20V,1A/1A,50ns,30ns,150ns,SOIC8,LM5109
ID7S210BD,低压200V高低侧驱动 内置自举二极管,HIN/LIN,200V,5V-20V,1A/1A,50ns,30ns,150ns,SOIC8,
ID7S625,高压600V，高低侧驱动 2.5A驱动能力,HIN/LIN/SD,600V,10V-20V,2.5A/2.5A,20ns,15ns,,SOIC16,IR2110S/IR2113S
ID7T6036,高压600V三相驱动器 过流保护,HIN/LIN/ITRIP,600V,10V-20V,200mA/350mA,125ns,50ns,275ns,SOIC28,IR2136S/FAN73892
ID7T6036D,高压600V三相驱动器 过流保护/内置自举二极管,HIN/LIN/ITRIP,600V,10V-20V,200mA/350mA,125ns,50ns,275ns,SOIC28,6EDL04I06NT
ID7T0610AD,低压三相驱动器 内置5V LDO,HIN/LIN/EN,48V,8V-13.5V,1A/1A,30ns,30ns,45ns,SSOP24,
ID20211D,低压100V高低侧驱动器 4A驱动能力,HIN/LIN,100V,8V-17V,4A/4A,7.2ns,5.5ns,,SOIC8,UCC27211
