产品网址：http://www.zjgst.com/products_cont_550.html
产品结构：root->江苏东方四通科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|BP 系列双极溅射电源|BP-Series BipolarSputtering Power Supply|主要应用于等离子辅助薄膜沉积 PECVD 和双阴极溅射镀膜领域，以其优良的控制算法，能够提供稳定可靠的双极性输出，并对功率、电压、电流、频率和脉冲时间等提供精确的输出控制|

型号,Bipolar Sputtering BP-6030,Bipolar Sputtering BP-6040,Bipolar Sputtering BP-6060
输入参数,,,
输入电压,"400V - 480V 10% (3+ PE,No Neutral)","400V - 480V 10% (3+ PE,No Neutral)","400V - 480V 10% (3+ PE,No Neutral)"
输入频率,50/60Hz(45-65)Hz,50/60Hz(45-65)Hz,50/60Hz(45-65)Hz
最大输入电流,3x66A,3x88A,3x 132A
输出参数,,,
额定输出功率,30kW,40kW,60kW
电压范围,0-600V/0-1000V,0-600V/0-1000V,0-600V/0-1000V
电流范围,0-125A/0-75A,0-166A/0-100A,0-250A/0-150A
脉冲频率,"0,1Hz-100kHz","0,1Hz-100kHz","0,1Hz-100kHz"
脉冲时间,Ton: 1-1000 ms Toff: 1-1000 ms,Ton: 1-1000 ms Toff: 1-1000 ms,Ton: 1-1000 ms Toff: 1-1000 ms
工作模式,功率、电压、电流,功率、电压、电流,功率、电压、电流
输出精度,±0.5%,±0.5%,±0.5%
重复精度,±0.2%,±0.2%,±0.2%
LCD,支持,支持,支持
RS232,支持,支持,支持
PROFIBUS/RS485,支持,支持,支持
EtherCAT,支持,支持,支持
模拟量输入,支持,支持,支持
ARC检测,lmax、 Uxl、dU,lmax、 Uxl、dU,lmax、 Uxl、dU
ARC能量,<0.3 mJ/kW,<0.3 mJ/kW,<0.3 mJ/kW
ARC处理时向,<100ns,<100ns,<100ns
工作环境温度,+5°C~+45°,+5°C~+45°,+5°C~+45°
存储环境温度,-25°C~+55°,-25°C~+55°,-25°C~+55°
相对湿度,5-85%无冷凝 No condensation,5-85%无冷凝 No condensation,5-85%无冷凝 No condensation
气压,86-106kPa,86-106kPa,86-106kPa
防护等级,IP40,IP40,IP40
外形尺寸,480mm x 356mm x 730mm,480mm x 356mm x 730mm,480mm x534mm x 730mm
重量,98kg,108kg,148kg
绝缘阻抗,＞5MQ,＞5MQ,＞5MQ
效率,>90%,>90%,>90%
冷却方式,水冷 Water coling,水冷 Water coling,水冷 Water coling
