产品网址：http://www.zjgst.com/products_cont_542.html
产品结构：root->江苏东方四通科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|PST 系列射频电源|PST-Series RF Power Supply|主要应用于等离子体、太阳能电池、显示屏制造等领域，以其优良的控制算法、对功率的精确控制、稳定可靠的持续输出，能够适用于丰富多样的等离子体应用。具有采用模块化设计，按照行业标准设计；高稳态功率输出；最大效率可达 80%；0.5W 的最小功率控制精度；脉冲输出功能集成；Arc 抑制功能集成；自动频率调谐；丰富的通讯接口；控制指令快速响应等特点|

型号,PST-AM5K-13MA,PST-AM10K-13MA
供电参数,,
供电电压,24VDC / 87-264VAC,24VDC / 87-264 VAC
供电频率,50/60HZ(45-65)Hz,50/60Hz(45-65)Hz
功率参数,,
输出功率,5kW,10kW
标称功率,5kW,10kW
输出频率,13.56MHz±0.5%,13.56MHz±0.5%
反射功率,5w or<1% of forward power,5w or<1% of forward power
通信接口,,
接口,"模拟量输入，RS232/RS485，Profibus, DeviceNet","模拟量输入，RS232/RS485，Profibus, DeviceNet"
环境,,
工作环境温度,+5°C~+45°C,+5°C~+45°C
储存环境温度,-25°C~+55°C,-25°C~+55°C
相对湿度,5-85%无冷凝,5-85%无冷凝
气压,80-106kPa,80-106kPa
其他,,
防护等级,IP21,IP21
重量外形尺寸,8kg / 368mm x 165mm x 450mm,20kg / 400mm x 230mm x 560mm
冷却方式,水冷+风冷,水冷+风冷
型号,PST-RF5K-13MA,PST-RF10K-13MA
输入参数,,
输入电压,"400V-480V±10%(3+PE,No Neutral）","400V-480V±10%(3+PE,No Neutral）"
输入频率,50/60HZ,50/60HZ
输入功率,9KVA,18KVA
功率因数,90%,90%
输出参数,,
额定输出功率,5kW,5kW
额定负载阻抗,50Ω,50Ω
输出频率,13.56MHz±0.5%,13.56MHz±0.5%
脉冲频率,1Hz-50kHz,1Hz-50kHz
功率精度,±1W和设定值的±1%中的较大者,±1W和设定值的±1%中的较大者
CEX模式,支持,支持
调谐时间,<10ms,<10ms
环境,,
工作环境温度,+5  °  C  -  +45°C,+5°C  -  +45°C
存储环境温度,-25  °  C  -  +55°C,-25  °  C  -  +55°C
相对湿度,5-85%无冷凝,5-85%无冷凝
气压,80 -106kPa,80 -106kPa
通信接口,,
接口,"模拟量输入， RS232/RS485,Profibus, DeviceNet","模拟量输入， RS232/RS485,Profibus, DeviceNet"
其他,,
防护等级,IP20,IP20
重量,30kg,50kg
外形尺寸,483mmx130mmx500mm,483mmx175mmx650mm
效率(50Ω),>78%,>75%
冷却方式,水冷,水冷
冷却介质温度,5°C-35°C,5°C-35°C
