产品网址：http://www.zjgst.com/products_cont_543.html
产品结构：root->江苏东方四通科技股份有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|KT 系列交流调压电源|KT 系列|广泛应用于粉末烧结、金属冶金、热处理、玻璃炉、晶体生长、气体加热等行业；具有恒电压、恒电流、恒功率开环等多种控制方式；高速 DSP 芯片及高精度 AD 转换，反应速度快，控制精度优于 1%，分辨率优于 1‰；具有自动限流功能；具有软启动、软关断功能；具有缺相、过流、过热、晶闸管故障、负载断线及不平衡保护功能；具有故障自诊断及相序自动确认功能；配备 LED 数码显示，便于功能参数设置及运行参数显示；RS485 通讯接口，MODBUS 通讯协议|

输入,输入电压,1(3)x220V±15%；3(1)x380V±15%;50Hz/60Hz；其它(others),1(3)x220V±15%；3(1)x380V±15%;50Hz/60Hz；其它(others).1
输入,控制电源,AC220V，50Hz/60Hz,AC220V，50Hz/60Hz
输出,输出电压,AC5V~用户自定,AC5V~用户自定
输出,输出电流,AC20A~8000A 用户自定,AC20A~8000A 用户自定
输出,适用负载,石墨、硅碳棒、钼、钨、铌、钽等,石墨、硅碳棒、钼、钨、铌、钽等
主要控制特性,给定信号,DC：0~5(10)V/0(4)~20mA 通讯,DC：0~5(10)V/0(4)~20mA 通讯
主要控制特性,控制方式,开环、恒压、恒流、恒功率闭环控制,开环、恒压、恒流、恒功率闭环控制
主要控制特性,工作方式,连续式,连续式
保护,缺相保护、过流保护、过热保护、负载断线保护,缺相保护、过流保护、过热保护、负载断线保护,缺相保护、过流保护、过热保护、负载断线保护
环境,环境温度,-5°C~+40°C,-5°C~+40°C
环境,储存温度,-5°C~+60°C,-5°C~+60°C
环境,相对湿度,≤90%RH，不结露,≤90%RH，不结露
环境,结构方式,室内柜式安装,室内柜式安装
