产品网址：http://www.zjgst.com/products_cont_535.html
产品结构：root->江苏东方四通科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|GD 系列直流电源|GD SERIES DC POWER SUPPLY|主要应用于晶体生长、金属管道热处理、碳-碳沉积、电解、热处理、冶金等领域。采用柜式一体化或模块化设计，按行业标准设计。模块化结构采用 N+1 冗余配置，可靠性高。采用 IGBT 作为逆变功率器件，超微晶合金变压器，体积小、体重轻、功率因数高、转换效率高。高速 DSP 芯片和高精度 AD 转换。具有输入过/欠压、输出限电压、输出限电流、负载开路/短路，温度异常保护等完善的故障检查及保护功能。输入/输出信号采用隔离器件，抗干扰能力强。多种通讯方式可选。|

输入,3×AC380V±15%;50/60HZ,3×AC380V±15%;50/60HZ.1
输出,DC 0-800V (可定制),DC 0-800V (可定制)
输出,DC 0-50000A (可定制),DC 0-50000A (可定制)
主要特性,给定方式,模拟量、通讯
主要特性,控制模式,恒压、恒流、恒功率
主要特性,控制精度,普通型优于0.5%高精度型优于0.01%
主要特性,稳定精度,普通型优于0.1%高精度型优于0.01%
主要特性,功率因数,≥0.95
主要特性,效率,90-97%(视输出及整流形式而定)
主要特性,噪声,≤60dB
主要特性,保护功能,过/欠压、过流、过热、水流量保护
主要特性,工作方式,连续式
主要特性,冷却方式,水冷
环境,使用环境温度,-5°C~+40°C
环境,储存温度,-5°C~+60°C
环境,相对湿度,≤90%RH，不结露
结构,安装方式,室内柜式安装
