产品网址：http://www.szsdws.com/product/?id=100008
产品结构：当前位置：首页->IntelMobileCeleronN2840

|产品名称|产品型号|功能描述|
|----|----|----|
|英特尔电脑处理器|Intel Mobile Celeron N2840|周期短，多仓交货，交期快，24 小时应急机制|

基本信息  类型  CPU / Microprocessor  系列  Intel Mobile Celeron  处理器编号  N2840  部件号  FH8065301903600  频率  (GHz)  2.167  频率  in IDA mode (GHz)  2.58  封装  类型  1170-ball micro-FCBGA  Socket  类型  BGA1170  架构 / 微体系结构 / Other  步进  C0  处理器内核  Bay Trail-M  制造技术（微米）  0.022  处理器多核数量  2  L2  缓存大小  (MB)  1  特征  BPT  EM64T technology  Enhanced SpeedStep technology  Execute disable bit  MMX  SSE  SSE2  SSE3  SSE4  SSSE3  Virtualization technology (VT-x)  工作温度  (°C)  105  热设计功耗  (Watt)  7.5,图片展示
基本信息,基本信息
,
类型,CPU / Microprocessor
系列,Intel Mobile Celeron
处理器编号,N2840
部件号,FH8065301903600
频率  (GHz),2.167
频率  in IDA mode (GHz),2.58
封装  类型,1170-ball micro-FCBGA
Socket  类型,BGA1170
,
架构 / 微体系结构 / Other,架构 / 微体系结构 / Other
,
步进,C0
处理器内核,Bay Trail-M
制造技术（微米）,0.022
处理器多核数量,2
L2  缓存大小  (MB),1
特征,BPT  EM64T technology  Enhanced SpeedStep technology  Execute disable bit  MMX  SSE  SSE2  SSE3  SSE4  SSSE3  Virtualization technology (VT-x)
工作温度  (°C),105
热设计功耗  (Watt),7.5


基本信息,基本信息.1
,
类型,CPU / Microprocessor
系列,Intel Mobile Celeron
处理器编号,N2840
部件号,FH8065301903600
频率  (GHz),2.167
频率  in IDA mode (GHz),2.58
封装  类型,1170-ball micro-FCBGA
Socket  类型,BGA1170
,
架构 / 微体系结构 / Other,架构 / 微体系结构 / Other
,
步进,C0
处理器内核,Bay Trail-M
制造技术（微米）,0.022
处理器多核数量,2
L2  缓存大小  (MB),1
特征,BPT  EM64T technology  Enhanced SpeedStep technology  Execute disable bit  MMX  SSE  SSE2  SSE3  SSE4  SSSE3  Virtualization technology (VT-x)
工作温度  (°C),105
热设计功耗  (Watt),7.5
