产品网址：http://www.szsdws.com/product/?id=100009
产品结构：root->闪电万昇-深圳市闪电万昇科技有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|英特尔电脑处理器|Intel Core i5 Mobile i5-4300U SR1ED|周期短，多仓交货，交期快，24 小时应急机制|

基本信息  类型  CPU / Microprocessor  系列  Intel Core i5 Mobile  处理器编号  i5-4300U  部件号  CL8064701477400  频率  (GHz)  1.9  频率  in IDA mode (GHz)  2.9  时钟倍频器  19  封装  类型  1168-ball micro-FCBGA  Socket  类型  BGA1168  架构 / 微体系结构 / Other  步进  D0  处理器内核  Haswell  制造技术（微米）  0.022  处理器多核数量  2  L2  缓存大小  (KB)  512  L3  缓存大小  (MB)  3  特征  AES  AVX  AVX2  EM64T technology  Enhanced SpeedStep technology  Execute disable bit  Hyper-Threading technology  MMX  SSE  SSE2  SSE3  SSE4  SSSE3  Transactional Synchronization Extensions  Trusted Execution technology  Turbo Boost technology  Virtualization technology (VT-d)  Virtualization technology (VT-x)  工作温度  (°C)  100  热设计功耗  (Watt)  15,图片展示
基本信息,基本信息
,
类型,CPU / Microprocessor
系列,Intel Core i5 Mobile
处理器编号,i5-4300U
部件号,CL8064701477400
频率  (GHz),1.9
频率  in IDA mode (GHz),2.9
时钟倍频器,19
封装  类型,1168-ball micro-FCBGA
Socket  类型,BGA1168
,
架构 / 微体系结构 / Other,架构 / 微体系结构 / Other
,
步进,D0
处理器内核,Haswell
制造技术（微米）,0.022
处理器多核数量,2
L2  缓存大小  (KB),512
L3  缓存大小  (MB),3
特征,AES  AVX  AVX2  EM64T technology  Enhanced SpeedStep technology  Execute disable bit  Hyper-Threading technology  MMX  SSE  SSE2  SSE3  SSE4  SSSE3  Transactional Synchronization Extensions  Trusted Execution technology  Turbo Boost technology  Virtualization technology (VT-d)  Virtualization technology (VT-x)
工作温度  (°C),100
热设计功耗  (Watt),15


基本信息,基本信息.1
,
类型,CPU / Microprocessor
系列,Intel Core i5 Mobile
处理器编号,i5-4300U
部件号,CL8064701477400
频率  (GHz),1.9
频率  in IDA mode (GHz),2.9
时钟倍频器,19
封装  类型,1168-ball micro-FCBGA
Socket  类型,BGA1168
,
架构 / 微体系结构 / Other,架构 / 微体系结构 / Other
,
步进,D0
处理器内核,Haswell
制造技术（微米）,0.022
处理器多核数量,2
L2  缓存大小  (KB),512
L3  缓存大小  (MB),3
特征,AES  AVX  AVX2  EM64T technology  Enhanced SpeedStep technology  Execute disable bit  Hyper-Threading technology  MMX  SSE  SSE2  SSE3  SSE4  SSSE3  Transactional Synchronization Extensions  Trusted Execution technology  Turbo Boost technology  Virtualization technology (VT-d)  Virtualization technology (VT-x)
工作温度  (°C),100
热设计功耗  (Watt),15
