产品网址：http://www.zc-power.com/a/chanpinjiejuefangan/chanpinjiejuefangan/zaiboton/index.html
产品结构：root->产品解决方案/产品解决方案/载波通信_北京中宸微电子有限公司官网

|产品名称|产品型号|功能描述|
|----|----|----|
|高速载波（HPLC）通信芯片|ZC3750/ZC3951|支持国家电网公司及南方电网公司互联互通协议，为智能电能表停复电事件实时上报、台区户变关系自动识别、相位识别等功能提供技术支持|
|单、三相高速载波（HPLC）模块|无|支持互联互通、停复电事件实时上报、台区户变关系自动识别、相位识别功能，上电自动读取电能表通信地址，主动注册、主动上报、动态组网自动路由，载波频率：0.7MHz～12MHz OFDM，载波通信速率：50Kbps～12Mbps|
|集中器本地高速载波（HPLC）模块|无|支持互联互通、停复电事件实时上报、台区户变关系自动识别、相位识别功能，载波频率：0.7MHz～12MHz OFDM，载波通信速率：50Kbps～12Mbps，串口波特率自适应：1200bps～115200bps，静态功耗：...|
|HPLC 双模 高速载波（HPLC）+微功率无线双模技术|无|结合了高速载波（HPLC）通信和微功率无线通信的双重优势，解决通信“孤岛”问题，适合存在深度中继环境的复杂台区，通信成功率极高|
|单、三相高速载波（HPLC）双模模块|无|支持互联互通、停复电事件实时上报、台区户变关系自动识别、相位识别功能，三种通信方式：载波、无线、载波+无线；双通道独立控制并自主切换，上电自动读取电能表通信地址，载波...|
|集中器本地高速载波（HPLC）双模模块|无|支持互联互通、停复电事件实时上报、台区户变关系自动识别、相位识别功能，载波频率：0.7MHz～12MHz OFDM；载波通信速率：50Kbps～12Mbps，无线频段：470MHz-510MHz；无线通信速率：10Kbps～1...|
|停复电上报技术及产品|无|在载波通信模块内部增加超级电容，用户停复电时由通信模块研判并上报信息|
|双模通信芯片|ZC9230B/ZC9231B|是最新推出的超低功耗、低成本的通信芯片，是一款高集成度电力线载波通信芯片，集成了高性能微控制器、低噪声放大器、有源模拟滤波器、可编程增益控制放大器、...|
|单、三相双模模块|无|三种通信方式：载波、无线、载波+无线，双通道独立控制自主切换，上电自动读取电能表通信地址，载波频率：365kHz±20kHz；载波通信速率：500bps/1Kbps/1.5Kbps/2.4Kbps，无线频段：470MHz-510MHz；...|
|集中器本地双模模块|无|载波频率：365kHz±20kHz；载波通信速率：500bps/1Kbps/1.5Kbps/2.4Kbps，无线频段：470MHz-510MHz；无线通信速率：10Kbps，串口波特率自适应：1200bps、2400bps、4800bps、9600bps，主动注册、主动上报、动态...|
|载波通信芯片|ZC1780/ZC1781|为电力线介质作为通信信道而设计的扩频通信芯片。芯片集成了物理层、数据链路层、网络层；通过芯片的 UART 直接和 DL/T645 协议的主控设备连接，通信速率 2400bps，芯片能够满...|
|单、三相载波模块|无|上电自动读取电能表通信地址，载波频率：270kHz±15kHz，载波通信速率：420bps/840bps/1260bps，串口波特率自适应：1200bps、2400bps、4800bps、9600bps，主动注册、主动上报、动态组网自动路由，符合...|
|集中器本地通信模块|无|载波频率：270kHz±15kHz，载波通信速率：420bps/840bps/1260bps，串口波特率自适应：1200bps、2400bps、4800bps、9600bps，主动注册、主动上报、动态组网自动路由，符合 Q/GDW376.2-2009、Q/GDW1376.2-2013 标准和...|
|载波高速通信芯片|ZC7530/ZC7630|窄带高速通信 G3 通信芯片，数据接口及通信协议：DL/T645-1997、DL/T645-2007，载波频率：365KHz/270KHz±40kHz OFDM，载波通信速率：5.5Kbps～46Kbps，内核：Cortex-M3，工作频率：72MHz，PLC 过零检测，双向通...|
