产品网址：https://www.zhmsemi.com/products/ev_igbt_module
产品结构：root->HefeiCpowerTechnology.,Ltd.-EVIGBTModule-IndustrialIGBTModule-HybridModule

|产品名称|产品型号|功能描述|
|----|----|----|
|EV IGBT Module|无|无|
|Automotive power module|DriveED3、DriveZ3、DriveZ1W_C6、DriveZ1W|无|
|Industrial IGBT Module|无|无|
|Industrial power module|DriveED3、DriveZ3、DriveZ1W_C6、DriveZ1W|无|
|Hybrid Module|无|无|
|Hybrid|DriveZ1W_C6、DriveZ1W、DriveED3、DriveZ3|无|
|SiC Module|无|无|
|SiC|DriveZ1W_C6、DriveZ1W、DriveED3、DriveZ3|无|
|IPM|无|无|
|IPM series|DriveZ1W_C6、DriveZ1W、DriveED3、DriveZ3|无|
|SOLAR|无|无|
|SOLAR|DriveZ1W_C6、DriveZ1W、DriveED3、DriveZ3|无|
