产品网址：https://www.e-motionsupply.cn/col.jsp?id=114
产品结构：root->e-motionsupply.cn

|产品名称|产品型号|功能描述|
|--|--|--|
|工业信息化监控管理平台|无|自动化监控和信息管理软件平台|
|自动化监控和信息管理软件平台 Workview|无|无|
|工业控制软件|无|无|
|控制软件 Codesys|无|无|
|机器控制软件|无|无|
|机器控制软件 Click&Move|无|无|
|机器控制软件 Twin CAT3|无|无|
|机器控制软件 XGT InfoU|无|无|
|工业 PC|无|无|
|触摸屏|无|无|
|智能移动终端|无|无|
|HUAWEI 智能移动手机终端|无|无|
|LUGE 无线手持终端|无|无|
|运动控制器|无|无|
|Allmotion|无|无|
|Delta Tau|无|无|
|ECET 元茂兴|无|无|
|Galil|无|无|
|Parker|无|无|
|DDC|无|无|
|Galil|无|无|
|Sanyo Denki|无|无|
|Phytron GmbH|无|无|
|通用控制器|无|无|
|AMC 爱默信|无|无|
|Parker 派克|无|无|
|Allmotion|无|无|
|测量控制器|无|无|
|DDC|无|无|
|集成控制器|无|无|
|ECET|无|无|
|Beijer 北尔|无|无|
|Unitronics|无|无|
|机器人示教器/控制器|无|无|
|Daincube|无|无|
|逻辑控制器|无|无|
|LS|无|无|
|Omron 欧姆龙|无|无|
|三菱 Mitsubushi|无|无|
|Delta 台达|无|无|
|XGB 系列|无|无|
|XGT 系列|无|无|
|K120S 系列|无|无|
|连接附件和电缆|无|无|
|Smart I/O 系列|无|无|
|K200S 系列|无|无|
|数控系统|无|无|
|DELTA TAU|无|无|
|Stepper 2 in one(步进电机+驱动器集成产品)|无|无|
|Moons 鸣志|无|无|
|AMP（Applied motion products)|无|无|
|雷赛|无|无|
|Stepper 3 in one(步进电机+驱动器+控制器集成化产品)|无|无|
|Moons 鸣志|无|无|
|AMP（Applied Motion Products）|无|无|
|集成化伺服电机|无|无|
|爱默信（AMC China）|无|无|
|JVL|无|无|
|LS|无|无|
|AMP 安普|无|无|
|2 相步进电机驱动器|无|无|
|Moons 鸣志|无|无|
|Mycom 脉康|无|无|
|Oriental 东方|无|无|
|Allmotion|无|无|
|AMP 安普|无|无|
|Phytron GmbH|无|无|
|5 相步进电机驱动器|无|无|
|Mycom 麦康|无|无|
|Oriental 东方|无|无|
|直流有刷电机线性放大器|无|无|
|Glentek 格兰泰克|无|无|
|Trustautomation|无|无|
|陶瓷电机驱动器|无|无|
|Nanomotion|无|无|
|Allmotion|无|无|
|2 相步进电机智能驱动器|无|无|
|Allmotion|无|无|
|直流有刷电机驱动器|无|无|
|Glentek 格兰泰克|无|无|
|AMC 爱默信|无|无|
|DDC|无|无|
|Allmotion|无|无|
|直流无刷电机线性放大器|无|无|
|Trustautomation|无|无|
|Glentek 格兰泰克|无|无|
|Mitsubishi 三菱|无|无|
|Mitsubishi 三菱|无|无|
|专用驱动器|无|无|
|LUGE|无|无|
|交流伺服驱动器|无|无|
|LS|无|无|
|Yaskawa|无|无|
|Panasonic|无|无|
|Sanyo Denki|无|无|
|BECKHOFF|无|无|
|Delta|无|无|
|直流无刷电机驱动器|无|无|
|AMC 爱默信|无|无|
|Glentek 格兰泰克|无|无|
|Allmotion|无|无|
|Mistubishi 三菱|无|无|
|主轴驱动器|无|无|
|Glentek 格兰泰克|无|无|
|数字伺服驱动器|无|无|
|AMP 安普|无|无|
|步进电机|无|无|
|Moons 鸣志|无|无|
|Oriental 东方|无|无|
|Mycom 脉康|无|无|
|Cyclone|无|无|
|Faulhaber|无|无|
|Empire Magnetics|无|无|
|Sanyo Denki 三洋|无|无|
|AMP 安普|无|无|
|Phytron GmbH|无|无|
|交流伺服电机|无|无|
|220VAC|无|无|
|380VAC|无|无|
|120VAC|无|无|
|240VAC|无|无|
