产品网址：http://www.hnxkdz.com/index.php/en/product.html
产品结构：root->Product|website|cms|wapwebsite|finishedwebsite-HenanicecomanelectponicsCo.,Ltd

|产品名称|产品型号|功能描述|
|--|--|--|
|雪片机控制器|XHJ-LCD-A|无|
|PBJ-C/D|无|无|
|冰机控制器|PBJ-A/B|无|
|ZBJ-358 冰机控制器|无|无|
|电烤炉控制器|Dpl-smg-b|无|
|消毒柜控制器|Xdg-lcd-a|无|
|多功能温度控制器|Wkq-smg-a|无|
|多功能蒸汽柜控制器|Zg-smg-a|无|
|通道洗碗机控制器|TDXWJ-C|无|
|新型通道洗碗机控制器|TDXWJ-D|无|
|TDXWJ-A/B 通道洗碗机控制器|无|无|
|盖式洗碗机控制器|XWJ-ZG-TFT|无|
|饮料加热柜控制器|Jrg-smg-a|无|
|酸奶机控制器|Snj-tft-a|无|
|电饭煲控制器|Zfc-smg-a|无|
|烤面包机控制器|Kdj-smg-a|无|
