产品网址：http://doc.weihong.com.cn:8889/zh-cn/doc/laser/%E5%8A%9F%E8%83%BD%E6%96%87%E6%A1%A3/%E5%B9%B3%E9%9D%A2/%E9%9A%8F%E5%8A%A8-cn/product/overview.html
产品结构：root->功能介绍

|产品名称|产品型号|功能描述|
|--|--|--|
|随动 3.0|无|利用电容值与距离的对应关系来实时控制 Z 轴上下浮动，以保证切割头与板材之间相对距离始终不变。具有可与任意切割头及喷嘴适配、电容参数自适应、支持振动抑制、一键伺服标定和电容标定、电容补偿、切割头防侧撞、边缘检测及出边检测、示波器功能、固件在线升级等特点。|

指标,说明
控制模式,速度控制
轴控制方式,EtherCAT总线通讯、模拟电压
采样率,2000 次每秒
静态测量精度,0.001 毫米
动态响应精度,0.01 毫米
随动高度控制范围,0-25 毫米
跟随速度上限,取决于伺服电机转速上限与丝杆导程
最大速度,60m/min
最大加速度,2G
DA 零漂检测时间,1s~2s
边缘跟随效果,3/4
碰板上抬响应,<1ms
防侧撞,有，最大避障速度60m/min


性能指标,随动2.0,随动3.0
最大速度,30m/min,60m/min
最大加速度,1G,2G
DA 零漂检测时间,1s~5s,1s~2s
边缘跟随效果,切割头出边1/2,3/4
碰板上抬响应,5ms~10ms滞后,<1ms
防侧撞,无,有，最大避障速度60m/min
