产品网址：https://www.dtc-solutions.cn/product/7167.html#
产品结构：root->VENZO700系列动态信号分析仪|腾振科技

|产品名称|产品型号|功能描述|
|----|----|----|
|VENZO 700 系列动态信号分析仪|VENZO 720/740/780/7160|可提供从 2 通道到多通道的数据采集与信号分析解决方案，采用先进的 DSP 框架和算法，32 位浮点 450 MHz DSP 处理器，高性能的 24 位 ADC，高达 135 dB 的动态范围，保证了采集数据的高精度。与计算机主机通过高速标准以太网连接，即插即用，为您免去安装驱动程序的烦恼。采用先进的浮地设计，传导无风扇制冷技术，大大降低了系统本底噪声和减少各种引入干扰。基于 Windows 图形化界面的分析软件，操作简单，易于上手。软件功能包括传递函数分析、离线分析、力锤法、激振器法、环境激励法、倍频程、经典冲击、瞬态捕捉、冲击响应谱等。特点包括多种输入通道规格、支持多台级联、先进的浮地设计、传导无风扇制冷、最高采样频率 204.8 kHz、分析频宽达 80 kHz、450 MHz 的 32 位浮点 DSP、24 位 ADC/DAC、135 dB 动态范围、1 GB 内部闪存空间、多种分析功能、内置信号发生器、支持 12 种以上输出信号、模态数据采集支持力锤法、激振器法和环境激励法、倍频程和分数倍频程滤波器满足 GB/T3241（IEC 61260）0 级滤波器要求、多种显示窗口自由搭配、示波、自动量程、现场传感器校准等功能、丰富的加窗函数、内置正弦、对数/线性扫频、哨叫、伪随机、猝发随机、成型随机、猝发成型随机、白噪声、脉冲等多种类型的信号源、1/1、1/3、1/6、1/12、1/24 实时倍频程滤波器、声学频率计权、符合 IEC 61672-1 标准的声级计功能、2~16 通道模拟输入、程控切换、高速标准以太网接口、借助以太网网络，实现远程测试、-30~70℃工作温度范围。典型应用包括 FFT 分析、频率响应分析、多通道同步数据采集、产品振动监测、机械状态监测、协助故障诊断、瞬态信号捕捉、结构动力学测试、冲击测量分析、声学测量、声级计、信号发生器、计量/检定用动态信号分析仪。硬件与软件配置包括输入通道规格和输出通道规格。|

输入模式,AC  单端/差分,✓,✓.1,✓.2,✓.3
输入模式,DC  单端/差分,✓,✓,✓,✓
输入模式,ICP,✓,✓,✓,✓
输入模式,电荷,✓,✓,✓,✓
输入模式,TEDS,✓,✓,✓,✓
数字I/O,数字I/O,8  位输入，8位输出,8  位输入，8位输出,8  位输入，8位输出,8  位输入，8位输出
DSP,DSP,450 MHz  的32位浮点DSP,450 MHz  的32位浮点DSP,450 MHz  的32位浮点DSP,450 MHz  的32位浮点DSP
内部存储空间,内部存储空间,1 GB,1 GB,1 GB,1 GB
尺寸,尺寸,290*210*60 mm,290*210*60 mm,390*280*60 mm,435*280*60 mm
重量,重量,2.6 kg,2.6 kg,4.2 kg,5.0 kg
电源,电源,电压范围(90～280)VAC，频率范围(50～60)Hz,电压范围(90～280)VAC，频率范围(50～60)Hz,电压范围(90～280)VAC，频率范围(50～60)Hz,电压范围(90～280)VAC，频率范围(50～60)Hz
电源,电源,额定功率10 W,额定功率10 W,额定功率20 W,额定功率20 W
制冷方式,制冷方式,传导无风扇制冷,传导无风扇制冷,传导无风扇制冷,传导无风扇制冷
主机箱接口,主机箱接口,高速标准以太网接口,高速标准以太网接口,高速标准以太网接口,高速标准以太网接口
软件运行环境,软件运行环境,Microsoft Windows XP/7/8/10,Microsoft Windows XP/7/8/10,Microsoft Windows XP/7/8/10,Microsoft Windows XP/7/8/10
软件功能,软件功能,传递函数分析（含数据记录&离线分析）、模态采集(力锤法、激振器法、环境激励法)、倍频程、冲击测量分析（经典冲击、冲击响应谱、瞬态捕捉）,传递函数分析（含数据记录&离线分析）、模态采集(力锤法、激振器法、环境激励法)、倍频程、冲击测量分析（经典冲击、冲击响应谱、瞬态捕捉）,传递函数分析（含数据记录&离线分析）、模态采集(力锤法、激振器法、环境激励法)、倍频程、冲击测量分析（经典冲击、冲击响应谱、瞬态捕捉）,传递函数分析（含数据记录&离线分析）、模态采集(力锤法、激振器法、环境激励法)、倍频程、冲击测量分析（经典冲击、冲击响应谱、瞬态捕捉）


型号,VENZO 720,VENZO 740,VENZO 780,VENZO 7160
输入通道,2,4,8,16
输入接口,2  ×BNC,4  ×BNC,8  ×BNC,16  ×BNC
A/D  转换,24  位,24  位,24  位,24  位
最高采样频率,204.8 kHz,204.8 kHz,204.8 kHz,204.8 kHz
动态范围,135 dB,135 dB,135 dB,135 dB
信噪比,＞100 dB,＞100 dB,＞100 dB,＞100 dB
输入量程,±0.1 Vpk，±1.0 Vpk，±10 Vpk,±0.1 Vpk，±1.0 Vpk，±10 Vpk,±0.1 Vpk，±1.0 Vpk，±10 Vpk,±0.1 Vpk，±1.0 Vpk，±10 Vpk
输入保护,±36 Vpk不损坏,±36 Vpk不损坏,±36 Vpk不损坏,±36 Vpk不损坏
幅值精度,0.5%FS,0.5%FS,0.5%FS,0.5%FS
输入阻抗,1M  Ω（单端），2 MΩ（差分）,1M  Ω（单端），2 MΩ（差分）,1M  Ω（单端），2 MΩ（差分）,1M  Ω（单端），2 MΩ（差分）
通道匹配,幅值比±0.05 dB，相位差±0.5度 (1 Hz~20 kHz),幅值比±0.05 dB，相位差±0.5度 (1 Hz~20 kHz),幅值比±0.05 dB，相位差±0.5度 (1 Hz~20 kHz),幅值比±0.05 dB，相位差±0.5度 (1 Hz~20 kHz)
通道间窜扰,<-100 dB@1 kHz,<-100 dB@1 kHz,<-100 dB@1 kHz,<-100 dB@1 kHz
谐波失真,<-100 dB@1 kHz,<-100 dB@1 kHz,<-100 dB@1 kHz,<-100 dB@1 kHz
抗混叠滤波,模拟加数字抗混叠低通滤波器,模拟加数字抗混叠低通滤波器,模拟加数字抗混叠低通滤波器,模拟加数字抗混叠低通滤波器


型号,VENZO 720,VENZO 740,VENZO 780,VENZO 7160
输出通道,1  个,2  个,2  个,2  个
输出接口,1  ×BNC,2  ×BNC,2  ×BNC,2  ×BNC
D/A  转换,24  位,24  位,24  位,24  位
动态范围,≥108 dB,≥108 dB,≥108 dB,≥108 dB
输出电压范围,±10 Vpk,±10 Vpk,±10 Vpk,±10 Vpk
最大输出电流,20 mA,20 mA,20 mA,20 mA
频率范围,20 kHz,20 kHz,20 kHz,20 kHz
谐波失真,<-100 dB@1 kHz,<-100 dB@1 kHz,<-100 dB@1 kHz,<-100 dB@1 kHz
重建滤波器,160 dB/Oct  数字和模拟抗混叠滤波器,160 dB/Oct  数字和模拟抗混叠滤波器,160 dB/Oct  数字和模拟抗混叠滤波器,160 dB/Oct  数字和模拟抗混叠滤波器
输出信号类型,正弦、正弦扫频、白噪声、爆破随机、成型随机、成型爆破随机、伪随机、哨叫、三角波、矩形波、直流、脉冲,正弦、正弦扫频、白噪声、爆破随机、成型随机、成型爆破随机、伪随机、哨叫、三角波、矩形波、直流、脉冲,正弦、正弦扫频、白噪声、爆破随机、成型随机、成型爆破随机、伪随机、哨叫、三角波、矩形波、直流、脉冲,正弦、正弦扫频、白噪声、爆破随机、成型随机、成型爆破随机、伪随机、哨叫、三角波、矩形波、直流、脉冲
