产品网址：https://www.dtc-solutions.cn/product/7169.html
产品结构：root->传感器校准系统VENZO8210|腾振科技

|产品名称|产品型号|功能描述|
|--|--|--|
|传感器校准系统|VENZO 8210|基于 VENZO 820 振动控制器，配备标准振动台及功率放大器、标准传感器与电脑，采用振动比较法进行传感器校准/检定，满足 ISO 16063-21 的要求，实现传感器灵敏度、幅值线性度、频率响应等的校准/检定，并自动生成测试报告。软件功能包括加速度传感器校准、速度传感器校准、位移传感器校准、测振仪校准等，支持多种校准方法和传感器类型。典型应用包括适用于电压、电荷、IEPE 和 TEDS 类型的振动传感器、测振仪的首次或周期检定/校准，快速、准确地校准加速度传感器、速度传感器、位移传感器和测振仪的各项指标等。硬件与软件配置包括振动控制器、标准振动台、标准传感器、电脑等。|

类型,内容,内容.1,内容.2,内容.3,内容.4,内容.5,内容.6,内容.7,内容.8,内容.9
类型,替代法,灵敏度,幅值线性度,频率响应,频率响应,频率响应,横向灵敏度比,动态范围,三轴向,可承受最大加速度
类型,替代法,灵敏度,幅值线性度,正弦扫频,步进正弦,随机法,横向灵敏度比,动态范围,三轴向,可承受最大加速度
加速度传感器校准,✓,✓,✓,✓,✓,✓,✓,,✓,
速度传感器校准,,✓,✓,,✓,,✓,✓,✓,✓
位移传感器校准,,✓,✓,,✓,,,,,
测振仪校准,,✓,✓,,✓,,,,,


型号,型号.1,VENZO 8210
系统选型,振动控制器,"VENZO 820,2  个输入通道，高速标准以太网通讯接口"
系统选型,标准振动台,500N  ，频率范围5~12000Hz
系统选型,功率放大器,线性功率放大器，输出功率1000VA，频率范围DC~20kHz
系统选型,标准传感器,灵敏度10mV/g，频率范围10~10000Hz
系统推力,系统推力,500N  （强制风冷）
无负载最大峰值加速度,无负载最大峰值加速度,70g
最大速度,最大速度,2.0m/s
最大位移峰-峰值,最大位移峰-峰值,20mm
系统扩展不确定度,系统扩展不确定度,＜1%（@16Hz，100m/s^2）
软件运行环境,软件运行环境,Microsoft Windows XP/7/8/10
软件功能,软件功能,加速度传感器校准、速度传感器校准、位移传感器校准、测振仪校准
