产品网址：https://www.dtc-solutions.cn/product/7173.html
产品结构：root->传感器|腾振科技

|产品名称|产品型号|功能描述|
|--|--|--|
|传感器|无|单向加速度传感器、三向加速度传感器、冲击型加速度传感器、力传感器|

型号  TENZO,灵敏度,安装谐振频率,频响（±  10%  ）,频响（±  10%  ）.1,量程（  g  ）,温度范围（℃）,重量（克）,尺寸（  mm  ）,出线方式
单向加速度传感器,单向加速度传感器,单向加速度传感器,单向加速度传感器,单向加速度传感器,单向加速度传感器,单向加速度传感器,单向加速度传感器,单向加速度传感器,单向加速度传感器
621A10,10Pc/g,~40kHz,1Hz~12kHz,1Hz~12kHz,5000,-40~+150,12,Φ  13  ×  20,顶端  M5
622A10,10Pc/g,~40kHz,1Hz~12kHz,1Hz~12kHz,5000,-40~+150,12,Φ  13  ×  20,侧端  M5
621A25,25 Pc/g,~30kHz,1Hz~10kHz,1Hz~10kHz,2000,-40~+150,15,Φ  15  ×  25,顶端  M5
622A25,25 Pc/g,~30kHz,1Hz~10kHz,1Hz~10kHz,2000,-40~+150,15,Φ  15  ×  25,侧端  M5
621A50,50Pc/g,~25kHz,0.5Hz~6kHz,0.5Hz~6kHz,1000,-40~+150,32,Φ  18  ×  27,顶端  M5
622A50,50Pc/g,~25kHz,0.5Hz~6kHz,0.5Hz~6kHz,1000,-40~+150,32,Φ  18  ×  27,侧端  M5
621A100,100Pc/g,~20kHz,0.5Hz~6kHz,0.5Hz~6kHz,1000,-40~+150,38,Φ  18  ×  27,顶端  M5
622A100,100Pc/g,~20kHz,0.5Hz~6kHz,0.5Hz~6kHz,1000,-40~+150,38,Φ  18  ×  27,侧端  M5
721A10,10mV/g,~35kHz,1Hz~10kHz,1Hz~10kHz,500,-40~+121,9.5,Φ  13  ×  20,顶端  M5
722A10,10mV/g,~35kHz,1Hz~10kHz,1Hz~10kHz,500,-40~+121,12,Φ  13  ×  20,侧端  M5
721A20,10 mV/g,~30kHz,1Hz~10kHz,1Hz~10kHz,250,-40~+121,9.5,Φ  11  ×  20,顶端  M5
722A20,10 mV/g,~30kHz,1Hz~10kHz,1Hz~10kHz,250,-40~+121,12,Φ  11  ×  20,侧端  M5
721A50,50mV/g,~35kHz,0.5Hz~8kHz,0.5Hz~8kHz,100,-40~+121,18,Φ  15  ×  25,顶端  M5
