产品网址：https://www.rychip.com/col.jsp?id=103
产品结构：root->成都蕊源半导体+电源芯片专家/DCDC,LDO,Boost,WLED驱动,LED驱动,PMIC,马达驱动,过压保护,锂电保护,快充,TI兼容,MPS兼容,SY矽力杰兼容-成都蕊源半导体科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|DCDC 单路降压系列|无|无|
|DCDC 单路升压系列|无|无|
|多路集成 PMIC 系列|无|无|
|同步驱动系列|无|无|
|异步驱动系列|无|无|
|LED/红外驱动系列|无|无|
|USB 限流开关系列|无|无|
|锂电池保护系列|无|无|
|OVP 保护系列|无|无|
|断电告警芯片|无|无|
|保护芯片系列|无|无|
|高电流 LDO|无|无|
|300mA 低压低功耗 LDO|无|无|
|300mA 低压低噪声 LDO|无|无|
|500mA 低压低噪声 LDO|无|无|
|高压 LDO|无|无|
|LDO 系列|无|无|
|PD 受电芯片|无|无|
|以太网供电系列|无|无|
|马达驱动系列|无|无|
|集成 OVP 充电管理系列|无|无|
|充电管理芯片|无|无|
|充电管理系列|无|无|

首页  产品方案  资料下载  关于蕊源  联系我们  样片申请  留言
首页
产品方案
资料下载
关于蕊源
联系我们
样片申请
留言





















